Name,Gender,Subject A,Subject B,Subject C,Subject D,Subject E,Subject F,Subject G,Subject H,Subject I,Subject J,Subject K,Subject L,Subject M,Subject N,Subject O,Subject P,Subject Q,Subject R,Subject S,Subject T,Subject U,Subject V,Subject W,Subject X,,Below 4,Grades 4 and Below
83,F,A,-,6,-,7,7,8,-,8,7,-,-,-,7,-,8,7,-,6,-,6,-,-,-,7,0,0
84,F,-,-,8,7,9,-,8,-,-,4,-,-,-,-,-,-,9,-,7,-,8,4,7,6,7,0,2
85,M,-,-,7,7,7,-,9,-,-,6,-,-,6,-,-,6,8,-,6,-,9,-,-,7,7.1,0,0
86,F,-,8,9,7,7,-,-,-,-,5,-,7,-,-,-,-,6,-,6,-,8,6,-,9,7.1,0,0
87,M,-,-,6,8,6,-,-,8,-,9,-,-,-,8,-,-,5,-,7,-,7,7,-,7,7.1,0,0
88,F,-,7,9,-,8,-,-,8,-,7,-,7,-,-,-,-,7,-,6,-,7,6,-,6,7.1,0,0
89,M,A,-,8,7,7,-,-,-,7,7,-,7,-,-,-,9,7,-,5,-,7,-,-,-,7.1,0,0
90,F,-,-,8,-,7,-,-,-,6,7,-,8,-,9,-,5,7,-,6,-,8,-,-,8,7.2,0,0
91,M,B,-,7,9,8,6,-,-,9,6,-,8,-,-,-,6,7,-,6,-,8,-,-,-,7.3,0,0
92,M,-,-,8,-,7,-,8,-,-,6,-,-,-,7,-,-,6,-,7,-,8,9,8,6,7.3,0,0
93,F,A,-,8,-,6,-,-,8,-,8,-,-,8,7,-,8,7,-,7,-,6,-,-,-,7.3,0,0
94,M,-,-,9,-,9,-,-,-,8,6,6,8,-,-,-,-,7,-,8,-,7,7,6,-,7.4,0,0
95,F,-,-,7,-,7,-,-,-,7,7,-,8,-,8,-,-,9,-,5,-,8,8,-,7,7.4,0,0
96,M,-,-,8,-,9,-,8,-,8,5,8,-,-,8,-,-,8,-,7,-,9,3,-,-,7.4,1,1
97,F,8,-,9,-,8,5,-,9,8,8,-,-,-,8,-,7,7,-,5,-,7,-,-,-,7.4,0,0
98,M,A,-,8,-,8,7,-,-,8,6,-,-,8,8,-,9,6,-,6,-,8,-,-,-,7.5,0,0
99,M,-,-,8,8,9,-,-,-,8,5,7,8,-,-,-,-,9,-,7,-,8,5,-,-,7.5,0,0
100,F,-,-,7,9,8,-,-,-,-,6,7,-,8,8,-,9,7,-,6,-,7,-,-,-,7.5,0,0
101,M,-,-,8,-,8,-,-,8,8,8,-,-,-,7,-,-,7,-,6,-,6,9,-,7,7.5,0,0
102,M,-,-,8,7,9,-,-,-,-,6,-,9,-,-,-,9,7,-,5,-,9,-,7,6,7.5,0,0
103,M,-,-,8,-,9,-,-,-,8,3,-,-,-,7,-,9,9,-,6,-,9,-,8,6,7.5,1,1
104,M,C,-,9,-,8,6,-,-,8,7,-,8,-,-,-,7,8,-,6,-,9,-,7,-,7.5,0,0
105,F,-,-,9,8,9,-,-,-,8,6,-,8,-,-,-,-,8,-,6,-,9,7,-,5,7.5,0,0
106,F,B,7,9,8,9,7,-,-,-,6,-,-,-,-,-,8,8,-,5,-,8,-,8,-,7.5,0,0
107,F,8,-,8,9,9,6,-,-,8,7,-,-,-,-,-,5,9,-,6,8,8,-,-,-,7.6,0,0
108,M,A,-,9,9,7,-,-,-,7,6,-,8,-,-,-,8,8,-,5,-,9,-,-,-,7.6,0,0
109,F,A,8,9,-,8,6,-,-,8,7,-,8,-,-,-,8,8,-,6,-,8,-,-,-,7.6,0,0
110,F,B,-,9,7,9,5,-,-,-,7,-,8,-,-,-,7,8,-,8,8,8,-,-,-,7.6,0,0
111,F,-,-,9,7,8,-,-,-,-,5,-,8,-,9,-,9,8,-,6,-,8,-,-,7,7.6,0,0
112,M,-,-,9,-,8,-,-,9,8,7,-,-,-,-,-,-,7,-,6,-,7,8,9,6,7.6,0,0
113,M,-,-,8,-,8,-,9,-,-,5,-,-,-,8,-,-,9,-,6,-,9,9,8,5,7.6,0,0
114,F,-,-,8,8,8,-,-,9,8,5,-,-,-,-,-,-,9,-,5,-,9,8,-,7,7.6,0,0
115,F,-,-,8,-,8,-,8,-,-,7,-,8,-,-,-,7,9,-,5,-,9,-,8,8,7.7,0,0
116,F,-,-,9,9,9,-,-,-,8,8,-,-,-,9,-,7,7,-,5,-,7,-,-,7,7.7,0,0
117,M,-,-,8,-,7,-,8,-,-,7,8,-,8,9,-,-,9,-,5,-,7,9,-,-,7.7,0,0
118,M,-,-,8,-,9,-,9,-,8,7,7,-,-,-,8,-,8,-,7,-,8,6,-,-,7.7,0,0
119,F,-,-,9,-,9,-,-,-,8,8,8,-,-,9,-,-,9,7,8,-,8,3,-,-,7.8,1,1
120,F,-,8,9,-,9,-,-,-,-,7,7,8,8,-,-,-,7,-,5,-,9,9,-,-,7.8,0,0
121,M,7,-,9,-,9,6,-,-,9,7,-,8,-,-,9,6,8,-,7,-,9,-,-,-,7.8,0,0
122,M,-,-,9,9,9,-,9,-,8,5,8,-,-,-,-,5,9,-,7,-,9,-,-,-,7.9,0,0
123,F,-,-,9,-,9,-,-,-,8,9,7,8,-,-,-,9,7,-,5,-,8,-,8,-,7.9,0,0
124,M,-,-,9,8,8,-,9,-,-,9,8,-,-,-,-,-,6,-,5,-,9,7,9,-,7.9,0,0
125,M,-,-,9,8,9,-,9,-,9,7,6,-,-,-,-,-,9,-,7,-,9,6,-,-,8,0,0
126,M,A,-,9,-,9,7,-,-,8,8,-,8,-,9,-,8,8,-,6,-,9,-,-,-,8.1,0,0
127,F,-,-,9,8,8,-,-,-,-,7,8,9,-,-,-,-,7,-,6,-,9,9,9,-,8.1,0,0
128,M,B,-,9,-,9,7,8,-,7,8,-,-,-,-,-,-,9,-,7,-,9,8,8,-,8.1,0,0
129,F,-,9,9,-,9,-,-,9,-,8,9,-,9,-,-,5,8,-,6,-,9,-,-,-,8.2,0,0
130,M,-,-,9,-,9,-,-,-,9,6,8,-,-,-,8,9,9,-,6,-,9,-,8,-,8.2,0,0
131,M,-,-,9,-,9,-,-,-,9,7,-,-,8,9,-,-,7,-,7,-,9,8,-,8,8.2,0,0
132,M,A*,-,9,-,9,7,8,-,9,7,-,-,-,9,-,9,9,-,6,-,9,-,-,-,8.3,0,0
133,F,-,7,9,-,9,-,-,-,-,9,9,-,9,9,-,-,6,-,6,-,9,9,-,-,8.3,0,0
134,M,-,-,9,-,9,-,9,-,9,7,7,-,-,-,-,-,8,-,6,-,9,9,9,-,8.3,0,0
135,F,-,7,9,-,9,-,-,-,9,7,-,-,-,9,-,9,8,-,7,-,9,-,-,8,8.3,0,0
136,M,-,-,9,-,9,-,-,-,9,9,-,9,-,9,-,9,7,-,5,-,8,-,-,9,8.4,0,0
137,F,-,-,9,-,9,-,-,-,9,9,-,-,-,9,-,8,7,-,5,-,9,-,9,9,8.4,0,0
138,F,-,-,8,-,8,-,9,-,9,7,9,9,-,-,-,-,9,-,6,-,9,9,-,-,8.4,0,0
139,F,-,-,8,-,8,-,-,-,-,9,-,9,-,9,-,-,7,-,8,8,9,9,-,8,8.4,0,0
140,F,-,-,9,-,8,-,8,9,-,9,-,-,-,9,-,-,7,-,7,-,9,9,-,8,8.4,0,0
141,F,A*,-,9,-,9,7,-,-,9,7,-,9,-,-,9,9,9,-,7,-,9,-,-,-,8.5,0,0
142,M,-,8,9,-,9,-,9,-,-,8,8,-,9,-,-,-,9,-,6,-,9,9,-,-,8.5,0,0
143,M,-,-,9,-,9,-,9,-,-,8,-,-,-,9,-,-,7,-,7,-,9,9,8,9,8.5,0,0
144,F,-,-,9,-,9,-,9,-,-,9,9,-,8,9,-,-,8,-,6,-,9,9,-,-,8.5,0,0
145,M,-,-,9,-,9,-,8,-,9,8,-,-,-,9,-,-,9,-,7,-,9,9,-,8,8.5,0,0
146,F,-,-,9,-,8,-,-,-,-,8,9,9,-,9,-,-,9,-,6,9,9,9,-,-,8.5,0,0
147,M,-,-,9,-,9,-,8,-,-,9,-,-,-,9,-,9,8,-,8,-,9,-,8,9,8.6,0,0
148,M,-,-,9,-,9,-,9,-,-,9,8,-,-,9,-,9,8,-,7,-,9,-,9,-,8.6,0,0
149,F,-,-,9,8,9,-,-,-,-,9,-,-,9,-,-,-,8,-,8,8,9,9,-,9,8.6,0,0
150,F,-,-,9,-,8,-,-,-,9,9,9,-,-,9,-,-,9,-,6,9,9,9,-,-,8.6,0,0
151,M,A*,-,9,-,9,7,-,-,9,9,-,9,-,-,9,9,9,-,8,-,9,-,-,-,8.7,0,0
152,F,-,-,9,-,9,-,-,-,9,9,9,-,-,9,-,-,9,-,7,-,9,9,9,-,8.8,0,0
